Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Chakole J.B., Kolhe M.S., Mahapurush G.D., Yadav A., Kurhekar M.P.","56081555900;57218544790;57218553973;57218547098;6603205265;","A Q-learning agent for automated trading in equity stock markets",2021,"Expert Systems with Applications","163",, 113761,"","",,,"10.1016/j.eswa.2020.113761","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089542460&doi=10.1016%2fj.eswa.2020.113761&partnerID=40&md5=b22aebaad9d7c7ff7f6a349694903238","Department of Computer Science and Engineering, Visvesvaraya National Institute of Technology, Nagpur, India; Department of Computer Science and Engineering, Indian Institute of Information Technology, Nagpur, India","Chakole, J.B., Department of Computer Science and Engineering, Visvesvaraya National Institute of Technology, Nagpur, India; Kolhe, M.S., Department of Computer Science and Engineering, Visvesvaraya National Institute of Technology, Nagpur, India; Mahapurush, G.D., Department of Computer Science and Engineering, Visvesvaraya National Institute of Technology, Nagpur, India; Yadav, A., Department of Computer Science and Engineering, Indian Institute of Information Technology, Nagpur, India; Kurhekar, M.P., Department of Computer Science and Engineering, Visvesvaraya National Institute of Technology, Nagpur, India","Trading strategies play a vital role in Algorithmic trading, a computer program that takes and executes automated trading decisions in the stock market. The conventional wisdom is that the same trading strategy is not profitable for all stocks all the time. The selection of a trading strategy for the stock at a particular time instant is the major research problem in the stock market trading. An optimal dynamic trading strategy generated from the current pattern of the stock price trend can attempt to solve this problem. Reinforcement Learning can find this optimal dynamic trading strategy by interacting with the actual stock market as its environment. The representation of the state of the environment is crucial for performance. We have proposed two different ways to represent the discrete states of the environment. In this work, we trained the trading agent using the Q-learning algorithm of Reinforcement Learning to find optimal dynamic trading strategies. We experimented with the two proposed models on real stock market data from the Indian and American stock markets. The proposed models outperformed the Buy-and-Hold and Decision-Tree based trading strategy in terms of profitability. © 2020 Elsevier Ltd","Algorithmic trading; Reinforcement Learning; Stock market","Commerce; Decision trees; Financial markets; Learning algorithms; Profitability; Reinforcement learning; Algorithmic trading; Automated trading; Current patterns; Optimal dynamics; Q-learning agents; Q-learning algorithms; Research problems; Trading strategies; Electronic trading",Article,"Final",,Scopus,2-s2.0-85089542460
"Syamala S.R., Wadhwa K.","56102738000;56102077800;","Trading performance and market efficiency: Evidence from algorithmic trading",2020,"Research in International Business and Finance","54",, 101283,"","",,,"10.1016/j.ribaf.2020.101283","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086790810&doi=10.1016%2fj.ribaf.2020.101283&partnerID=40&md5=12d59c2f9e14033d3bddf676db789839","Finance and Control Group, Indian Institute of Management Calcutta, Kolkata, India; Indian Institute of Foreign Trade (IIFT), India","Syamala, S.R., Finance and Control Group, Indian Institute of Management Calcutta, Kolkata, India; Wadhwa, K., Indian Institute of Foreign Trade (IIFT), India","In India, National Stock Exchange directly identifies algorithmic trading participation. Algorithmic traders possess intraday market timing skills. Results are not motivated by extreme short-term signals or transitory price trading. Magnitude of market timing performance in cross-sectional group of traders shows that they earn profit across all the cases, and maximize while providing liquidity. Volume-weighted-average-price decomposition analysis reports algorithmic traders earn profits through intraday market timing performance for five-minute and one-minute intervals, and it is higher compared to short-term market timing performance across all trader groups. Order imbalance and price delay regressions show that algorithmic trading significantly improves price efficiency. © 2020 Elsevier B.V.","Algorithmic trading; Intraday trading; Trading performance; VWAP",,Article,"Final",,Scopus,2-s2.0-85086790810
"Zhang W., Wang P., Li Y.","56621528900;57201462928;57202713882;","Intraday momentum in Chinese commodity futures markets",2020,"Research in International Business and Finance","54",, 101278,"","",,,"10.1016/j.ribaf.2020.101278","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088402852&doi=10.1016%2fj.ribaf.2020.101278&partnerID=40&md5=7f026e17719e2923d63b253c8f6e6c5e","College of Management and Economics, Tianjin University, Tianjin, 300072, China; China Center for Social Computing and Analytics, Tianjin, 300072, China","Zhang, W., College of Management and Economics, Tianjin University, Tianjin, 300072, China, China Center for Social Computing and Analytics, Tianjin, 300072, China; Wang, P., College of Management and Economics, Tianjin University, Tianjin, 300072, China; Li, Y., College of Management and Economics, Tianjin University, Tianjin, 300072, China","In this paper, we study whether the intraday momentum exists in Chinese commodity futures markets. We first construct an open-interest-weighted index with the high-frequency data of all commodity futures traded and then examine the predictability of the last half-hour return with both in-sample and out-of-sample tests. Consistent with findings in other markets, we show that the first half-hour return can readily predict the last half-hour return. We further demonstrate that the magnitude of this intraday momentum varies with volatility, trading volume, trade size, the sign of the first half-hour return, the type of commodity futures, and the launch of night trading. Additionally, this intraday momentum does not result from data snooping but has economic significance and remains robust under different index weighting and predictor calculation methods. © 2020 Elsevier B.V.","Commodity futures; High frequency trading; Intraday momentum",,Article,"Final",,Scopus,2-s2.0-85088402852
"Khedmati M., Azin P.","53863407600;57216952528;","An online portfolio selection algorithm using clustering approaches and considering transaction costs",2020,"Expert Systems with Applications","159",, 113546,"","",,,"10.1016/j.eswa.2020.113546","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085522643&doi=10.1016%2fj.eswa.2020.113546&partnerID=40&md5=e5d460313ecbe854fc0146048e0bc167","Department of Industrial Engineering, Sharif University of Technology, Tehran, 1458889694, Iran","Khedmati, M., Department of Industrial Engineering, Sharif University of Technology, Tehran, 1458889694, Iran; Azin, P., Department of Industrial Engineering, Sharif University of Technology, Tehran, 1458889694, Iran","This paper presents an online portfolio selection algorithm based on pattern matching principle where it makes a decision on the optimal portfolio in each period and updates the optimal portfolio at the beginning of each period. The proposed method consists of two steps: i) sample selection, ii) portfolio optimization. First, in the sample selection, clustering algorithms including k-means, k-medoids, spectral and hierarchical clustering are applied to discover time windows (TW) similar to the recent time window. Then, after finding the similar time windows and predicting the market behavior of the next day, the optimum function along with the transaction cost is used in the portfolio optimization step in which, four algorithms including KMNLOG, KMDLOG, SPCLOG and HRCLOG are proposed for this purpose. The presented algorithms are applied on 5 different datasets with different characteristics including different markets, stocks, and time periods, and their performance has been evaluated. The results show that the provided algorithms in this paper, have better performance in terms of efficiency compared to the algorithms provided in the literature. © 2020 Elsevier Ltd","Algorithmic trading; Clustering; Data mining; Online portfolio selection; Pattern-matching","Commerce; Costs; Financial data processing; Financial markets; Hierarchical clustering; Pattern matching; Clustering approach; Market behavior; Online portfolios; Optimal portfolios; Portfolio optimization; Sample selection; Time windows; Transaction cost; K-means clustering",Article,"Final",,Scopus,2-s2.0-85085522643
"Ramos H.P., Perlin M.S.","57196460840;31767585500;","Does algorithmic trading harm liquidity? Evidence from Brazil",2020,"North American Journal of Economics and Finance","54",, 101243,"","",,,"10.1016/j.najef.2020.101243","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086870525&doi=10.1016%2fj.najef.2020.101243&partnerID=40&md5=f400611f4ae3dcc8b880e060d16f7217","School of Management at the Federal University of Rio Grande do Sul, Porto Alegre, Rio Grande do Sul, CEP: 90010-460, Brazil","Ramos, H.P., School of Management at the Federal University of Rio Grande do Sul, Porto Alegre, Rio Grande do Sul, CEP: 90010-460, Brazil; Perlin, M.S., School of Management at the Federal University of Rio Grande do Sul, Porto Alegre, Rio Grande do Sul, CEP: 90010-460, Brazil","This paper provides the first evidence of algorithmic trading (AT) reducing liquidity in the Brazilian equities market. Our results are contrary to the majority of work which finds a positive relationship between AT and liquidity. Using the adoption of a new data center for the B3 exchange as an exogenous shock, we report evidence that AT increased realized spreads in both firm fixed-effects and vector autoregression estimates for 26 stocks between 2017 and 2018 using high-frequency data. We also provide evidence that AT increases commonality in liquidity, evidencing correlated transactions between automated traders. © 2020 Elsevier Inc.","Algorithmic trading; Commonality in liquidity; Liquidity; Spreads",,Article,"Final",,Scopus,2-s2.0-85086870525
"Ha Y., Zhang H.","57208397545;55534900600;","Algorithmic trading for online portfolio selection under limited market liquidity",2020,"European Journal of Operational Research","286","3",,"1033","1051",,,"10.1016/j.ejor.2020.03.050","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085048157&doi=10.1016%2fj.ejor.2020.03.050&partnerID=40&md5=fabb2af49fc40a3be685a6b27bfca469","Department of Finance, New Jersey City University, United States; Strathclyde Business, School Accounting and Finance, 199 Cathedral Street, Glasgow, G4 0QU, United Kingdom","Ha, Y., Department of Finance, New Jersey City University, United States; Zhang, H., Strathclyde Business, School Accounting and Finance, 199 Cathedral Street, Glasgow, G4 0QU, United Kingdom","We propose an optimal intraday trading algorithm to reduce overall transaction costs by absorbing price shocks when an online portfolio selection (OPS) method rebalances its portfolio. Having considered the real-time data of limit order books (LOBs), the trading algorithm optimally splits a sizeable market order into a number of consecutive market orders to minimise the overall transaction costs, including both the liquidity costs and the proportional transaction costs. The proposed trading algorithm, compatible with any OPS methods, optimises the number of intraday trades and finds an optimal intraday trading path. Backtesting results from the historical LOB data of NASDAQ-traded stocks show that the proposed trading algorithm significantly reduces the overall transaction costs when market liquidity is limited. © 2020 Elsevier B.V.","Algorithmic trading; Investment analysis; Limit order book; Market impact cost; Online portfolio selection","Commerce; Correlation theory; Cost reduction; Financial markets; Algorithmic trading; Limit order book; Market liquidity; Online portfolios; Proportional transaction costs; Real-time data; Transaction cost; Electronic trading",Article,"Final",,Scopus,2-s2.0-85085048157
"Chalvatzis C., Hristu-Varsakelis D.","57218353691;14031296900;","High-performance stock index trading via neural networks and trees",2020,"Applied Soft Computing Journal","96",, 106567,"","",,,"10.1016/j.asoc.2020.106567","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088902625&doi=10.1016%2fj.asoc.2020.106567&partnerID=40&md5=21dfcf85f6848f81d888f1e7232f5a2e","University of Macedonia, Department of Applied Informatics, 156 Egnatia St., Thessaloniki, 54006, Greece","Chalvatzis, C., University of Macedonia, Department of Applied Informatics, 156 Egnatia St., Thessaloniki, 54006, Greece; Hristu-Varsakelis, D., University of Macedonia, Department of Applied Informatics, 156 Egnatia St., Thessaloniki, 54006, Greece","Automated asset trading typically involves a price prediction model – of as high an accuracy as possible – together with a trading strategy, sometimes as simple as buying or selling when the price is predicted to rise or fall, respectively. Despite the fact that the model's effectiveness in generating profits may depend on the particular trading strategy it is used with, these two components are often designed separately, in part because of the difficulty involved in jointly optimizing them. Motivated by this interplay between model performance and trading strategy, this work presents a novel automated trading architecture in which the prediction model is tuned to enhance profitability instead of accuracy, while the trading strategy attempts to be more sophisticated in its use of the model's price predictions. In particular, instead of acting simply on whether the price is predicted to rise or fall we show that there is value in taking advantage of the model-specific distribution of predicted returns, and the fact that a prediction's position within that distribution carries useful information about the expected profitability of a trade. Our proposed approach was tested with tree-based models as well as one deep long short-term memory (LSTM) neural networks, all of which were kept structurally simple and generated predictions based on price observations over a modest number of trading days. Tested over the period 2010–2019 on the S&P 500, Dow Jones Industrial Average (DJIA), NASDAQ and Russell 2000 stock indices, and our best overall model achieved cumulative returns of 350%, 403%, 497% and 333%, respectively, outperforming the benchmark buy-and-hold strategy as well as other recent efforts. © 2020 Elsevier B.V.","Automatic trading; Deep learning; Finance; LSTM; Stock prediction","Commerce; Financial markets; Fintech; Forecasting; Predictive analytics; Profitability; Automated trading; Buy-and-hold strategy; Dow Jones Industrial averages; Model performance; Price prediction models; Specific distribution; Trading strategies; Tree-based model; Long short-term memory",Review,"Final",,Scopus,2-s2.0-85088902625
"Bazzana F., Collini A.","6504074477;57217169647;","How does HFT activity impact market volatility and the bid-ask spread after an exogenous shock? An empirical analysis on S&P 500 ETF",2020,"North American Journal of Economics and Finance","54",, 101240,"","",,,"10.1016/j.najef.2020.101240","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086580551&doi=10.1016%2fj.najef.2020.101240&partnerID=40&md5=42d86764f297f5e962fb31537f0aa77d","University of Trento, Trento, Italy","Bazzana, F., University of Trento, Trento, Italy; Collini, A., University of Trento, Trento, Italy","In this paper, we empirically analyse infra-second datasets of the SPDR S&P 500 ETF (specifically, the ETF of the S&P 500 exchanged on BATS, named SPY.Z) in order to explain how high-frequency trading (HFT) activities (aggressive and passive) impact market volatility and the bid-ask spread before and after an exogenous shock (i.e., the 2016 US presidential election). Using SPDR S&P 500 ETF datasets as a proxy for the market on regular volume trading days (November 3, 2016) and on high-volume trading days (November 9, 2016), we show that HFT, on average, has a disturbing action mainly on regular volume trading days, whereas on high-volume trading days, it appears to have a stabilizing effect by balancing both the volatility and bid-ask spread. That is, HFT as a whole has a more neutral impact on the market's volatility and bid-ask spread than the single aggressive and passive components. In fact, aggressive HFT has a consistent negative effect that increases, on average, both the volatility and bid-ask spread, whereas passive HFT displays a positive effect that decreases, on average, the volatility and bid-ask spread. © 2020 Elsevier Inc.","Bid-ask spread; High-frequency trading; Volatility",,Article,"Final",,Scopus,2-s2.0-85086580551
"Ben Ammar I., Hellara S., Ghadhab I.","57216615035;56624608500;56667518700;","High-frequency trading and stock liquidity: An intraday analysis",2020,"Research in International Business and Finance","53",, 101235,"","",,1,"10.1016/j.ribaf.2020.101235","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084090533&doi=10.1016%2fj.ribaf.2020.101235&partnerID=40&md5=485712bd6c4623a4660bd330d2301836","Université de Tunis, ISGT, LR99ES04 BESTMOD, Tunis, 2000, Tunisia; Université de Tunis El Manar, FSEGT, Tunis, 2092, Tunisia","Ben Ammar, I., Université de Tunis, ISGT, LR99ES04 BESTMOD, Tunis, 2000, Tunisia; Hellara, S., Université de Tunis, ISGT, LR99ES04 BESTMOD, Tunis, 2000, Tunisia; Ghadhab, I., Université de Tunis, ISGT, LR99ES04 BESTMOD, Tunis, 2000, Tunisia, Université de Tunis El Manar, FSEGT, Tunis, 2092, Tunisia","This paper studies the impact of high-frequency trading (HFT) on intraday liquidity of CAC40 stocks listed on Euronext. Spreads display an intraday L-shaped pattern, while quoted depth follows an inverse pattern: low at the open and increasing towards the end of the trading day. When liquidity demand is particularly high, there is a high rate of order cancellations attributable to high-frequency traders who use frequent order cancellations to strategically manage their limit orders and close positions near the market close. Using the generalized method of moments estimator, we generate strong evidence that greater intensity of HFT is associated with lower spreads and higher depth. The positive effect of HFT on liquidity is due mainly to decreased adverse selection costs arising from asymmetric information among market participants. © 2020 Elsevier B.V.","Algorithmic trading; High-frequency trading; Intraday liquidity; Market microstructure",,Article,"Final",,Scopus,2-s2.0-85084090533
"Yang H., Ge H., Luo Y.","55731065200;57214819881;57214823853;","The optimal bid-ask price strategies of high-frequency trading and the effect on market liquidity",2020,"Research in International Business and Finance","53",, 101194,"","",,,"10.1016/j.ribaf.2020.101194","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079214431&doi=10.1016%2fj.ribaf.2020.101194&partnerID=40&md5=2c1c139a7e57c4673c98ec58286b83e8","School of Economics and Management, Beihang University, Beijing, 100191, China; Beijing Advanced Innovation Center for Big Data and Brain Computing, Beihang University, Beijing, 100191, China; Key Laboratory of Complex System Analysis, Management and Decision, Ministry of Education, Beihang University, Beijing, 100191, China","Yang, H., School of Economics and Management, Beihang University, Beijing, 100191, China, Beijing Advanced Innovation Center for Big Data and Brain Computing, Beihang University, Beijing, 100191, China; Ge, H., School of Economics and Management, Beihang University, Beijing, 100191, China, Key Laboratory of Complex System Analysis, Management and Decision, Ministry of Education, Beihang University, Beijing, 100191, China; Luo, Y., School of Economics and Management, Beihang University, Beijing, 100191, China","We propose a model for determining the optimal bid-ask spread strategy by a high-frequency trader (HFT) who has an informational advantage and receives information about the true value of a security. We employ an information cost function that includes volatility and the volume of the asset. Subsequently, we characterize the optimal bid-ask price strategies and obtain a stable bid-ask spread. We assume that orders submitted by low-frequency traders (LFTs) and news events arrive at the market with Poisson processes. Additionally, our model supports the trading of the two-sided quote in one period. We find that more LFTs and a higher exchange latency both hurt market liquidity. The HFT prefers to choose a two-sided quote to gain more profits while cautiously chooses a one-sided quote during times of high volatility. The model generates some testable implications with supporting empirical evidence from the NASDAQ-OMX Nordic Market. © 2020 Elsevier B.V.","High-frequency trading; Market liquidity; Optimal strategies; Stable bid-ask spread",,Article,"Final",,Scopus,2-s2.0-85079214431
