Link,Abstract,Author Keywords,Index Keywords
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034773068&doi=10.3390%2fsym9110283&partnerID=40&md5=40838d250615bc05ce2d3c76af4b9498","The importance of an interference-less machine learning scheme in time series prediction is crucial, as an oversight can have a negative cumulative effect, especially when predicting many steps ahead of the currently available data. The on-going research on noise elimination in time series forecasting has led to a successful approach of decomposing the data sequence into component trends to identify noise-inducing information. The empirical mode decomposition method separates the time series/signal into a set of intrinsic mode functions ranging from high to low frequencies, which can be summed up to reconstruct the original data. The usual assumption that random noises are only contained in the high-frequency component has been shown not to be the case, as observed in our previous findings. The results from that experiment reveal that noise can be present in a low frequency component, and this motivates the newly-proposed algorithm. Additionally, to prevent the erosion of periodic trends and patterns within the series, we perform the learning of local and global trends separately in a hierarchical manner which succeeds in detecting and eliminating short/long term noise. The algorithm is tested on four datasets from financial market data and physical science data. The simulation results are compared with the conventional and state-of-the-art approaches for time series machine learning, such as the non-linear autoregressive neural network and the long short-term memory recurrent neural network, respectively. Statistically significant performance gains are recorded when the meta-learning algorithm for noise reduction is used in combination with these artificial neural networks. For time series data which cannot be decomposed into meaningful trends, applying the moving average method to create meta-information for guiding the learning process is still better than the traditional approach. Therefore, this new approach is applicable to the forecasting of time series with a low signal to noise ratio, with a potential to scale adequately in a multi-cluster system due to the parallelized nature of the algorithm. © 2017 by the authors.","Component trends; Empirical mode decomposition; Interference-less machine learning; Long short-term memory; Meta-learning; Moving average; Noise reduction; Nonlinear autoregressive neural network; Time series forecasting",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987989524&doi=10.1109%2fICIS.2016.7550882&partnerID=40&md5=f7152445d8858e9425db76f90ec140c6","This paper proposes a novel application of deep learning models, Paragraph Vector, and Long Short-Term Memory (LSTM), to financial time series forecasting. Investors make decisions according to various factors, including consumer price index, price-earnings ratio, and miscellaneous events reported in newspapers. In order to assist their decisions in a timely manner, many automatic ways to analyze those information have been proposed in the last decade. However, many of them used either numerical or textual information, but not both for a single company. In this paper, we propose an approach that converts newspaper articles into their distributed representations via Paragraph Vector and models the temporal effects of past events on opening prices about multiple companies with LSTM. The performance of the proposed approach is demonstrated on real-world data of fifty companies listed on Tokyo Stock Exchange. © 2016 IEEE.",,"Earnings; Financial data processing; Information science; Newsprint; Consumer price index; Distributed representation; Financial time series forecasting; Long short term memory; Novel applications; Stock predictions; Textual information; Tokyo Stock Exchange; Costs"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958535711&doi=10.1007%2f978-3-319-09330-7_8&partnerID=40&md5=ffad3cd6cbb8da2dd239cf680f520fc0","A novel type of recurrent neural network, the regularized Dynamic Self Organised Neural Network Inspired by the Immune Algorithm, is presented. The Regularization technique is used with the Dynamic self-organized multilayer perceptrons network that is inspired by the immune algorithm. The regularization has been addressed to improve the generalization and to solve the over-fitting problem. The results of an average 30 simulations generated from ten stationary signals are demonstrates. The results of the proposed network were compared with the regularized multilayer neural networks and the regularized self organized neural network inspired by the immune algorithm. The simulation results indicated that the proposed network showed better values in terms of the annualized return in comparison to the benchmarked networks. © 2014 Springer International Publishing Switzerland.","And financial time series prediction; Dynamic neural network; Exchange rate time series","Bioinformatics; Financial data processing; Intelligent computing; Multilayer neural networks; Recurrent neural networks; Dynamic neural networks; Exchange rates; Financial time series predictions; Immune algorithms; Regularization technique; Self-organised; Self-organized neural networks; Stationary signal; Algorithms"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058627874&doi=10.1145%2f3277104.3277120&partnerID=40&md5=57398d936e3cb9aec0619c8188b9e77e","Computational technologies have offered faster and efficient solutions to many diverse areas including the financial sector. In the financial market, the advancements in computational field have been mainly achieved through the use of neural networks and machine learning tools that delivered a number of financial applications. These applications include: stock market prediction, bankruptcy prediction, risk assessment etc. Thus, in this paper, we are developing a technique to predict the stock market index for the “Dow Jones” using deep learning algorithms. We propose a model based on an adaptive NARX neural network that can predict the closing price of a moderately stable market. In our model, non-linear auto regressive exogenous input model inserts delays into the input as well as the output acting as memory slots thereby raising the accuracy of the prediction. This model uses a time series analysis to improve the prediction accuracy. In addition, Levenberg-Marquardt algorithm has been used for training the network. The accuracy of the model is determined by the mean squared error between the predicted and the actual prices. © 2018 Association for Computing Machinery.","Artificial intelligence; Deep learning; Financial forecasting; NARX algorithm; Stock prediction","Artificial intelligence; Big data; Commerce; Deep learning; Electronic trading; Financial markets; Forecasting; Mean square error; Risk assessment; Time series analysis; Auto-regressive exogenous inputs; Bankruptcy prediction; Computational technology; Financial applications; Financial forecasting; Levenberg-Marquardt algorithm; Stock market prediction; Stock predictions; Learning algorithms"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061485605&doi=10.1109%2fNCG.2018.8593076&partnerID=40&md5=1800fd3a7bac4080c421c563152a90a5","Deep learning has recently received growing interest and attention. It has been successfully applied to many fields. Stock market time-series forecasting is one the most challenging problems for a variety of learning methodologies. In this paper, we studied the integration of deep learning methodologies into stock market forecasting. We evaluated and compared a number of variants of Deep Recurrent Neural Network based on LSTM and GRU. Both bidirectional and unidirectional stacked architectures with multivariate inputs were employed to perform short- and long-term forecasting. The deep learning architectures were also compared to shallow neural networks using S P500 index historical data. It has been noticed that a stacked LSTM architecture has demonstrated the highest forecasting performance for both short- and long-term. © 2018 IEEE.",,"Commerce; Deep learning; Electronic trading; Financial markets; Forecasting; Multivariant analysis; Network architecture; Forecasting performance; Historical data; Learning architectures; Long-term forecasting; Market forecast; Multi variate analysis; Stock market forecasting; Time series forecasting; Long short-term memory"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049058462&doi=10.1007%2f978-3-319-93701-4_29&partnerID=40&md5=cfb5d82e2667813903d00f48094cef66","This paper presents improvements in financial time series prediction using a Deep Neural Network (DNN) in conjunction with a Discrete Wavelet Transform (DWT). When comparing our model to other three alternatives, including ARIMA and other deep learning topologies, ours has a better performance. All of the experiments were conducted on High-Frequency Data (HFD). Given the fact that DWT decomposes signals in terms of frequency and time, we expect this transformation will make a better representation of the sequential behavior of high-frequency data. The input data for every experiment consists of 27 variables: The last 3 one-minute pseudo-log-returns and last 3 one-minute compressed tick-by-tick wavelet vectors, each vector is a product of compressing the tick-by-tick transactions inside a particular minute using a DWT with length 8. Furthermore, the DNN predicts the next one-minute pseudo-log-return that can be transformed into the next predicted one-minute average price. For testing purposes, we use tick-by-tick data of 19 companies in the Dow Jones Industrial Average Index (DJIA), from January 2015 to July 2017. The proposed DNN’s Directional Accuracy (DA) presents a remarkable forecasting performance ranging from 64% to 72%. © Springer International Publishing AG, part of Springer Nature 2018.","Computational finance; Deep Neural Networks; Discrete Wavelet Transform; High-frequency forecasting; Short-term forecasting","Discrete wavelet transforms; Financial data processing; Forecasting; Metadata; Signal reconstruction; Topology; Computational finance; Directional accuracy; Dow Jones Industrial averages; Financial time series predictions; Forecasting performance; High frequency data; High frequency HF; Short-term forecasting; Deep neural networks"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064841438&doi=10.1007%2fs00500-019-04006-2&partnerID=40&md5=2639fa521ccb02834040e5c254070614","In this paper, we develop a new Hybrid method based on machine learning algorithms for jump detection in financial time series. Jump is an important behavior in financial time series, since it implies a change in volatility. Ones can buy the volatility instrument if ones expect the volatility will bloom up in the future. A jump detection model attempts to detect short-term market instability, since it could be jumping up or down, instead of a directional prediction. The directional prediction can be considered as a momentum or trend following, which is not the focus of this paper. A jump detection model is commonly applied in a systematic fast-moving strategy, which reallocates the assets automatically. Also, a systematic opening position protection strategy can be driven by a jump detection model. For example, for a tail risk protection strategy, a pair of long call and put option order could be placed in the same time, in order to protect the open position given a huge change in volatility. One of the key differentiations of the proposed model with the classical methods of time-series anomaly detection is that, jump threshold parameters are not required to be predefined in our proposed model. Also the model is a combination of a Long short-term memory (LSTM) neural network model and a machine learning pattern recognition model. The LSTM model is applied for time series prediction, which predicts the next data point. The historical prediction errors sequence can be used as the information source or input of the jump detection model/module. The machine learning pattern recognition model is applied for jump detection. The combined model attempts to determine whether the current data point is a jump or not. LSTM neural network is a type of Recurrent Neural Networks (RNNs). LSTM records not only the recent market, but also the historical status. A stacked RNN is trained on a dataset which is mixed with normal and anomalous data. We compare the performance of the proposed Hybrid jump detection model and different pattern classification algorithms, such as k-nearest neighbors algorithm identifier, Hampel identifier, and Lee Mykland test. The model is trained and tested using real financial market data, including 11 global stock market in both developed and emerging markets in US, China, Hong Kong, Taiwan, Japan, UK, German, and Israel. The experiment result shows that the proposed Hybrid jump detection model is effective to detect jumps in terms of accuracy, comparing to the other classical jump detection methods. © 2019, Springer-Verlag GmbH Germany, part of Springer Nature.","Anomaly detection; Long short-term memory (LSTM) neural network; Machine learning; Recurrent neural network","Anomaly detection; Binary alloys; Brain; Commerce; Electronic trading; Financial markets; Forecasting; Learning algorithms; Learning systems; Machine learning; Nearest neighbor search; Pattern recognition; Potassium alloys; Recurrent neural networks; Time series; Uranium alloys; Classification algorithm; Directional predictions; Financial time series; Global stock markets; Neural network model; Recurrent neural network (RNNs); Threshold parameters; Time series prediction; Long short-term memory"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049969159&doi=10.1016%2fj.eswa.2018.07.019&partnerID=40&md5=08712e647976ca327f91763d9bce54a9","Forecasting a financial asset's price is important as one can lower the risk of investment decision- making with accurate forecasts. Recently, the deep neural network is popularly applied in this area of research; however, it is prone to overfitting owing to limited availability of data points for training. We propose a novel data augmentation approach for stock market index forecasting through our ModAugNet framework, which consists of two modules: an overfitting prevention LSTM module and a prediction LSTM module. The performance of the proposed model is evaluated using two different representative stock market data (S&P500 and Korea Composite Stock Price Index 200 (KOSPI200)). The results confirm the excellent forecasting accuracy of the proposed model. ModAugNet-c yields a lower test error than the comparative model (SingleNet) in which an overfitting prevention LSTM module is absent. The test mean squared error (MSE), mean absolute percentage error (MAPE), and mean absolute error (MAE) for S&P500 decreased to 54.1%, 35.5%, and 32.7%, respectively, of the corresponding S&P500 forecasting errors of SingleNet, while the same for KOSPI200 decreased to 48%, 23.9%, and 32.7%, respectively, of the corresponding KOSPI200 forecasting errors of SingleNet. Furthermore, through the analyses of the trained ModAugNet-c, we found that test performance is entirely dependent on the prediction LSTM module. The contribution of this study is its applicability in various instances where it is challenging to artificially augment data, such as medical data analysis and financial time-series modeling. © 2018 Elsevier Ltd","Data augmentation; Deep learning; Long short-term memory; Overfitting; Stock market index","Commerce; Decision making; Deep learning; Deep neural networks; Errors; Financial data processing; Financial markets; Forecasting; Investments; Mean square error; Time series analysis; Data augmentation; Financial time series; Investment decision making; Mean absolute percentage error; Medical data analysis; Overfitting; Overfitting preventions; Stock market index; Long short-term memory"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052879308&doi=10.1007%2f978-3-319-98539-8_26&partnerID=40&md5=1945e8be827380f8765aabcc65d5dc1a","Most approaches to forecasting time series data employ one-step-ahead prediction approaches. However, recently there has been focus on multi-step-ahead prediction approaches. These approaches demonstrate enhanced prediction capabilities. However, multi-step-ahead prediction increases the complexity of the prediction process in comparison to one-step-ahead approaches. Typically, studies in the examination of multi-step ahead methods have addressed issues such as the increased complexity, inaccuracy, uncertainty, and error variance on the prediction horizon, and have been deployed in various domains such as finance, economics, agriculture and hydrology. When determining which algorithm to use in a time series analyses, the approach is to analyze the series for numerous characteristics and features, such as heteroscedasticity, auto-correlation, seasonality and stationarity. In this work, a comparative analysis of 20 different time series datasets is presented and a demonstration of the complexity in deciding which approach to use is given. The study investigates some of the main prediction approaches such as ARIMA (Autoregressive integrated moving average), NN (Neural Network), RNN (Recurrent neural network) and SVR (Support vector regression), which focus on the recursive prediction strategy and compare them to a new approach known as MRFA (Multi-Resolution Forecast Aggregation). © Springer Nature Switzerland AG 2018.",,"Complex networks; Data mining; Economics; Forecasting; Recurrent neural networks; Time series; Time series analysis; Algorithmic approach; Auto-regressive integrated moving average; Comparative analysis; Forecasting time series; Multi-step-ahead predictions; Prediction capability; Recursive prediction; Support vector regression (SVR); Big data"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943244653&doi=10.1080%2f18756891.2015.1099910&partnerID=40&md5=18349a63ec6b83e487ad63a0d96a223e","A low complexity Polynomial Functional link Artificial Recurrent Neural Network (PFLARNN) has been proposed for the prediction of financial time series data. Although different types of polynomial functions have been used for low complexity neural network architectures earlier for stock market prediction, a comparative study is needed to choose the optimal combinations of the nonlinear functions for a reasonably accurate forecast. Further a recurrent version of the Functional link neural network is used to model more accurately a chaotic time series like stock market indices with a lesser number of nonlinear basis functions. The proposed PFLARNN model when trained with the well known gradient descent algorithm produces reasonable accuracy with a choice of range of weight parameters of the network. However, to improve the accuracy of the forecast further, the weight parameters of the recurrent functional neural network are optimized using an evolutionary learning algorithm like the differential evolution (DE). A comparison with other well known neural architectures shows that the proposed low complexity neural model can provide significant prediction accuracy for one day advance and speed of convergence using the International Business Machines Corp. (IBM) stock market indices. © 2015 the authors.","AMAPE; backpropagation learning algorithm; differential evolution; IBM stock indices; MAPE; PFLARNN; Polynomial functions","Algorithms; Backpropagation; Backpropagation algorithms; Commerce; Complex networks; Evolutionary algorithms; Finance; Financial data processing; Financial markets; Forecasting; Functions; Learning algorithms; Network architecture; Neural networks; Optimization; Parameter estimation; Polynomials; Recurrent neural networks; Time series; AMAPE; Backpropagation learning algorithm; Differential Evolution; Mape; PFLARNN; Polynomial functions; Stock indices; Electronic trading"
