Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Access Type,Source,EID
"Hajiabotorabi Z., Kazemi A., Samavati F.F., Maalek Ghaini F.M.","57210187197;24070754400;6603142390;26644170500;","Improving DWT-RNN model via B-spline wavelet multiresolution to forecast a high-frequency time series",2019,"Expert Systems with Applications","138",, 112842,"","",,,"10.1016/j.eswa.2019.112842","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069827868&doi=10.1016%2fj.eswa.2019.112842&partnerID=40&md5=c103c51089b93ec959b569f86ced47cf","Department of Mathematics, Faculty of Science, Yazd University, Yazd, Iran; Department of Mathematics, Faculty of Science, Payame Noor University, Yazd, Iran; Department of Industrial Management, Faculty of Management, University of Tehran, Tehran, Iran; Department of Computer Science, University of Calgary, Calgary, Alberta, Canada","Hajiabotorabi, Z., Department of Mathematics, Faculty of Science, Yazd University, Yazd, Iran, Department of Mathematics, Faculty of Science, Payame Noor University, Yazd, Iran; Kazemi, A., Department of Industrial Management, Faculty of Management, University of Tehran, Tehran, Iran; Samavati, F.F., Department of Computer Science, University of Calgary, Calgary, Alberta, Canada; Maalek Ghaini, F.M., Department of Mathematics, Faculty of Science, Yazd University, Yazd, Iran",Article,,Scopus,2-s2.0-85069827868
"Ładyżyński P., Żbikowski K., Gawrysiak P.","55897965200;55860046500;24337898500;","Direct marketing campaigns in retail banking with the use of deep learning and random forests",2019,"Expert Systems with Applications","134",,,"28","35",,,"10.1016/j.eswa.2019.05.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066271331&doi=10.1016%2fj.eswa.2019.05.020&partnerID=40&md5=e0212fdaa6eb4f7777440b61e945eb81","Faculty of Mathematics and Computer Science, Warsaw University of Technology, Koszykowa 75, Warsaw, 00-662, Poland; Institute of Computer Science, Warsaw University of Technology, Nowowiejska 15/19, Warsaw, 00-665, Poland","Ładyżyński, P., Faculty of Mathematics and Computer Science, Warsaw University of Technology, Koszykowa 75, Warsaw, 00-662, Poland; Żbikowski, K., Institute of Computer Science, Warsaw University of Technology, Nowowiejska 15/19, Warsaw, 00-665, Poland; Gawrysiak, P., Institute of Computer Science, Warsaw University of Technology, Nowowiejska 15/19, Warsaw, 00-665, Poland",Article,,Scopus,2-s2.0-85066271331
"Rodrigues F., Markou I., Pereira F.C.","36647999000;56724096100;7201689596;","Combining time-series and textual data for taxi demand prediction in event areas: A deep learning approach",2019,"Information Fusion","49",,,"120","129",,3,"10.1016/j.inffus.2018.07.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054192390&doi=10.1016%2fj.inffus.2018.07.007&partnerID=40&md5=1c6a547ca8cff51e1d8151180dfa36fb","Technical University of Denmark (DTU), Bygning 116B, 2800 Kgs, Lyngby, Denmark","Rodrigues, F., Technical University of Denmark (DTU), Bygning 116B, 2800 Kgs, Lyngby, Denmark; Markou, I., Technical University of Denmark (DTU), Bygning 116B, 2800 Kgs, Lyngby, Denmark; Pereira, F.C., Technical University of Denmark (DTU), Bygning 116B, 2800 Kgs, Lyngby, Denmark",Article,,Scopus,2-s2.0-85054192390
"Cao J., Wang J.","57207830408;57207828548;","Stock price forecasting model based on modified convolution neural network and financial time series analysis",2019,"International Journal of Communication Systems","32","12", e3987,"","",,,"10.1002/dac.3987","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066486217&doi=10.1002%2fdac.3987&partnerID=40&md5=d02dd09dbe6500c17e643707d6789828","University of Science and Technology of China, Hefei, China; Illinois Institute of Technology, Chicago, IL, United States","Cao, J., University of Science and Technology of China, Hefei, China; Wang, J., Illinois Institute of Technology, Chicago, IL, United States",Article,,Scopus,2-s2.0-85066486217
"Xing F.Z., Cambria E., Zhang Y.","57196019442;56140547500;56462264800;","Sentiment-aware volatility forecasting",2019,"Knowledge-Based Systems","176",,,"68","76",,3,"10.1016/j.knosys.2019.03.029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063733190&doi=10.1016%2fj.knosys.2019.03.029&partnerID=40&md5=76fd451e919da1400fbff4fcdb82e3cb","School of Computer Science & Engineering, Nanyang Technological University, Singapore; Institute of Advanced Technology, Westlake University, China","Xing, F.Z., School of Computer Science & Engineering, Nanyang Technological University, Singapore; Cambria, E., School of Computer Science & Engineering, Nanyang Technological University, Singapore; Zhang, Y., Institute of Advanced Technology, Westlake University, China",Article,,Scopus,2-s2.0-85063733190
"Zhang Z., Zohren S., Roberts S.","57208652822;14057447500;57203276441;","DeepLOB: Deep convolutional neural networks for limit order books",2019,"IEEE Transactions on Signal Processing","67","11", 8673598,"3001","3012",,,"10.1109/TSP.2019.2907260","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065427368&doi=10.1109%2fTSP.2019.2907260&partnerID=40&md5=f958ee05acc0f4d49c2232aef3c4fda0","Oxford-Man Institute of Quantitative Finance, Department of Engineering Science, University of Oxford, Oxford, OX1 2JD, United Kingdom","Zhang, Z., Oxford-Man Institute of Quantitative Finance, Department of Engineering Science, University of Oxford, Oxford, OX1 2JD, United Kingdom; Zohren, S., Oxford-Man Institute of Quantitative Finance, Department of Engineering Science, University of Oxford, Oxford, OX1 2JD, United Kingdom; Roberts, S., Oxford-Man Institute of Quantitative Finance, Department of Engineering Science, University of Oxford, Oxford, OX1 2JD, United Kingdom",Article,,Scopus,2-s2.0-85065427368
"Shi L., Teng Z., Wang L., Zhang Y., Binder A.","55520303300;57191849336;57189032831;57202890579;7103335240;","DeepClue: Visual interpretation of text-based deep stock prediction",2019,"IEEE Transactions on Knowledge and Data Engineering","31","6", 8408524,"1094","1108",,1,"10.1109/TKDE.2018.2854193","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049670640&doi=10.1109%2fTKDE.2018.2854193&partnerID=40&md5=533b3ce311e3efbb3cffe99494caf059","SKLCS, Institute of Software, Chinese Academy of Sciences, Beijing, 100864, China; University of Chinese Academy of Sciences (UCAS), Beijing, 100049, China; Singapore University of Technology Design, Singapore, 487372, Singapore","Shi, L., SKLCS, Institute of Software, Chinese Academy of Sciences, Beijing, 100864, China, University of Chinese Academy of Sciences (UCAS), Beijing, 100049, China; Teng, Z., Singapore University of Technology Design, Singapore, 487372, Singapore; Wang, L., SKLCS, Institute of Software, Chinese Academy of Sciences, Beijing, 100864, China, University of Chinese Academy of Sciences (UCAS), Beijing, 100049, China; Zhang, Y., Singapore University of Technology Design, Singapore, 487372, Singapore; Binder, A., Singapore University of Technology Design, Singapore, 487372, Singapore",Article,,Scopus,2-s2.0-85049670640
"Yeze Z., Yiying W.","57209140407;57209134544;","Stock Price Prediction Based on Information Entropy and Artificial Neural Network",2019,"5th International Conference on Information Management, ICIM 2019",,, 8714662,"248","251",,,"10.1109/INFOMAN.2019.8714662","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066631662&doi=10.1109%2fINFOMAN.2019.8714662&partnerID=40&md5=e8aeb6d2dd566309691021b20213eb21","School of Computer and Information Technology, Beijing Jiaotong University, Beijing, China; Department of Mathematics, University of Liverpool, Liverpool, United Kingdom","Yeze, Z., School of Computer and Information Technology, Beijing Jiaotong University, Beijing, China; Yiying, W., Department of Mathematics, University of Liverpool, Liverpool, United Kingdom",Conference Paper,,Scopus,2-s2.0-85066631662
"Passalis N., Tefas A., Kanniainen J., Gabbouj M., Iosifidis A.","56897101400;6701672908;23394868200;7005332419;36720841400;","Deep Temporal Logistic Bag-of-features for Forecasting High Frequency Limit Order Book Time Series",2019,"ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing - Proceedings","2019-May",, 8682297,"7545","7549",,,"10.1109/ICASSP.2019.8682297","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069000578&doi=10.1109%2fICASSP.2019.8682297&partnerID=40&md5=2d843d9f98f084beab64a4d27a28ad0f","School of Informatics, Aristotle University of Thessaloniki, Greece; Faculty of Information Technology and Communication Sciences, Tampere University, Finland; Dept. of Engineering, Aarhus University, Denmark","Passalis, N., School of Informatics, Aristotle University of Thessaloniki, Greece, Faculty of Information Technology and Communication Sciences, Tampere University, Finland; Tefas, A., School of Informatics, Aristotle University of Thessaloniki, Greece; Kanniainen, J., Faculty of Information Technology and Communication Sciences, Tampere University, Finland; Gabbouj, M., Faculty of Information Technology and Communication Sciences, Tampere University, Finland; Iosifidis, A., Dept. of Engineering, Aarhus University, Denmark",Conference Paper,,Scopus,2-s2.0-85069000578
"Karmiani D., Kazi R., Nambisan A., Shah A., Kamble V.","57208722670;57208718984;57208719870;57208721548;56919409700;","Comparison of Predictive Algorithms: Backpropagation, SVM, LSTM and Kalman Filter for Stock Market",2019,"Proceedings - 2019 Amity International Conference on Artificial Intelligence, AICAI 2019",,, 8701258,"228","234",,,"10.1109/AICAI.2019.8701258","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065601062&doi=10.1109%2fAICAI.2019.8701258&partnerID=40&md5=836d28838447606093d59d292d5a863a","Sardar Patel Institute of Technology, Mumbai, India","Karmiani, D., Sardar Patel Institute of Technology, Mumbai, India; Kazi, R., Sardar Patel Institute of Technology, Mumbai, India; Nambisan, A., Sardar Patel Institute of Technology, Mumbai, India; Shah, A., Sardar Patel Institute of Technology, Mumbai, India; Kamble, V., Sardar Patel Institute of Technology, Mumbai, India",Conference Paper,,Scopus,2-s2.0-85065601062
"Wang B., Wang J.","57205691331;55946707000;","Energy futures prices forecasting by novel DPFWR neural network and DS-CID evaluation",2019,"Neurocomputing","338",,,"1","15",,,"10.1016/j.neucom.2019.01.092","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061162689&doi=10.1016%2fj.neucom.2019.01.092&partnerID=40&md5=17a6773bf1cac120eb3a6d95d37ad7f2","School of Science, Beijing Jiaotong University, Beijing, 100044, China","Wang, B., School of Science, Beijing Jiaotong University, Beijing, 100044, China; Wang, J., School of Science, Beijing Jiaotong University, Beijing, 100044, China",Article,,Scopus,2-s2.0-85061162689
"Moews B., Herrmann J.M., Ibikunle G.","57204789588;16412284700;55509976400;","Lagged correlation-based deep learning for directional trend change prediction in financial time series",2019,"Expert Systems with Applications","120",,,"197","206",,1,"10.1016/j.eswa.2018.11.027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057188554&doi=10.1016%2fj.eswa.2018.11.027&partnerID=40&md5=5b0f6d3076cb618d8edf95b8ffef8e62","School of Physics & Astronomy, University of Edinburgh, Edinburgh, EH9 3HJ, United Kingdom; School of Informatics, University of Edinburgh, Edinburgh, EH8 9AB, United Kingdom; Business School, University of Edinburgh, Edinburgh, EH8 9JS, United Kingdom","Moews, B., School of Physics & Astronomy, University of Edinburgh, Edinburgh, EH9 3HJ, United Kingdom; Herrmann, J.M., School of Informatics, University of Edinburgh, Edinburgh, EH8 9AB, United Kingdom; Ibikunle, G., Business School, University of Edinburgh, Edinburgh, EH8 9JS, United Kingdom",Article,,Scopus,2-s2.0-85057188554
"Sismanoglu G., Onde M.A., Kocer F., Sahingoz O.K.","57209730058;57209731841;57209734258;14054797000;","Deep learning based forecasting in stock market with big data analytics",2019,"2019 Scientific Meeting on Electrical-Electronics and Biomedical Engineering and Computer Science, EBBT 2019",,, 8741818,"","",,,"10.1109/EBBT.2019.8741818","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068552387&doi=10.1109%2fEBBT.2019.8741818&partnerID=40&md5=5bd120d0c934452e0fc6a6521877b323","Computer Engineering Department, Istanbul Kultur University, Istanbul, 34158, Turkey","Sismanoglu, G., Computer Engineering Department, Istanbul Kultur University, Istanbul, 34158, Turkey; Onde, M.A., Computer Engineering Department, Istanbul Kultur University, Istanbul, 34158, Turkey; Kocer, F., Computer Engineering Department, Istanbul Kultur University, Istanbul, 34158, Turkey; Sahingoz, O.K., Computer Engineering Department, Istanbul Kultur University, Istanbul, 34158, Turkey",Conference Paper,,Scopus,2-s2.0-85068552387
"Yan X., Zhao J.","50562404800;57206579718;","Application of improved convolution neural network in financial forecasting",2019,"2019 IEEE 4th International Conference on Cloud Computing and Big Data Analytics, ICCCBDA 2019",,, 8725661,"321","326",,,"10.1109/ICCCBDA.2019.8725661","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067471318&doi=10.1109%2fICCCBDA.2019.8725661&partnerID=40&md5=f66b4db2f9cc552158b4f6de0c7b8551","Foreign Trade College, Chongqing Normal University, NO.9 Xuefu Road, Hechuan District Chongqing, China","Yan, X., Foreign Trade College, Chongqing Normal University, NO.9 Xuefu Road, Hechuan District Chongqing, China; Zhao, J., Foreign Trade College, Chongqing Normal University, NO.9 Xuefu Road, Hechuan District Chongqing, China",Conference Paper,,Scopus,2-s2.0-85067471318
