country;lat;lon
FGHANISTAN;33.0;65.0
ALBANIA;41.0;20.0
ALGERIA;28.0;3.0
AMERICANSAMOA;-14.3333;-170.0
ANDORRA;42.5;1.5
ANGOLA;-12.5;18.5
ANGUILLA;18.25;-63.1667
ANTARCTICA;-90.0;0.0
ANTIGUAANDBARBUDA;17.05;-61.8
ARGENTINA;-34.0;-64.0
ARMENIA;40.0;45.0
ARUBA;12.5;-69.9667
AUSTRALIA;-27.0;133.0
AUSTRIA;47.3333;13.3333
AZERBAIJAN;40.5;47.5
BAHAMAS;24.25;-76.0
BAHRAIN;26.0;50.55
BANGLADESH;24.0;90.0
BARBADOS;13.1667;-59.5333
BELARUS;53.0;28.0
BELGIUM;50.8333;4.0
BELIZE;17.25;-88.75
BENIN;9.5;2.25
BERMUDA;32.3333;-64.75
BHUTAN;27.5;90.5
BOLIVIA;-17.0;-65.0
BOSNIAANDHERZEGOVINA;44.0;18.0
BOTSWANA;-22.0;24.0
BOUVETISLAND;-54.4333;3.4
BRAZIL;-10.0;-55.0
BRITISHINDIANOCEANTERRITORY;-6.0;71.5
BRUNEI;4.5;114.6667
BULGARIA;43.0;25.0
BURKINAFASO;13.0;-2.0
BURUNDI;-3.5;30.0
CAMBODIA;13.0;105.0
CAMEROON;6.0;12.0
CANADA;60.0;-95.0
CAPEVERDE;16.0;-24.0
CAYMANISLANDS;19.5;-80.5
CENTRALAFRICANREPUBLIC;7.0;21.0
CHAD;15.0;19.0
CHILE;-30.0;-71.0
CHINA;35.0;105.0
CHRISTMASISLAND;-10.5;105.6667
COCOS(KEELING)ISLANDS;-12.5;96.8333
COLOMBIA;4.0;-72.0
COMOROS;-12.1667;44.25
CONGO;-1.0;15.0
COOKISLANDS;-21.2333;-159.7667
COSTARICA;10.0;-84.0
COTEIVOIRE;8.0;-5.0
CROATIA(HRVATSKA);45.1667;15.5
CUBA;21.5;-80.0
CYPRUS;35.0;33.0
CZECHREPUBLIC;49.75;15.5
DENMARK;56.0;10.0
DJIBOUTI;11.5;43.0
DOMINICA;15.4167;-61.3333
DOMINICANREPUBLIC;19.0;-70.6667
ECUADOR;-2.0;-77.5
EGYPT;27.0;30.0
ELSALVADOR;13.8333;-88.9167
EQUATORIALGUINEA;2.0;10.0
ERITREA;15.0;39.0
ESTONIA;59.0;26.0
ETHIOPIA;8.0;38.0
FALKLANDISLANDS;-51.75;-59.0
FAROEISLANDS;62.0;-7.0
FIJI;-18.0;175.0
FINLAND;64.0;26.0
FRANCE;46.0;2.0
FRENCHGUIANA;4.0;-53.0
FRENCHPOLYNESIA;-15.0;-140.0
FRENCHSOUTHERNTERRITORIES;-43.0;67.0
GABON;-1.0;11.75
GAMBIA;13.4667;-16.5667
GEORGIA;42.0;43.5
GERMANY;51.0;9.0
GHANA;8.0;-2.0
GREECE;39.0;22.0
GREENLAND;72.0;-40.0
GRENADA;12.1167;-61.6667
GUADELOUPE;16.25;-61.5833
GUAM;13.4667;144.7833
GUATEMALA;15.5;-90.25
GUINEA;11.0;-10.0
GUINEA-BISSAU;12.0;-15.0
GUYANA;5.0;-59.0
HAITI;19.0;-72.4167
HEARDANDMCDONALDISLANDS;-53.1;72.5167
HONDURAS;15.0;-86.5
HONGKONG;22.25;114.1667
HUNGARY;47.0;20.0
ICELAND;65.0;-18.0
INDIA;20.0;77.0
INDONESIA;-5.0;120.0
IRAN;32.0;53.0
IRAQ;33.0;44.0
IRELAND;53.0;-8.0
ISRAEL;31.5;34.75
ITALY;42.8333;12.8333
JAMAICA;18.25;-77.5
JAPAN;36.0;138.0
JORDAN;31.0;36.0
KAZAKHSTAN;48.0;68.0
KENYA;1.0;38.0
KIRIBATI;1.4167;173.0
KOREA(NORTH);40.0;127.0
SOUTHKOREA;37.0;127.5
KUWAIT;29.3375;47.6581
KYRGYZSTAN;41.0;75.0
LAOS;18.0;105.0
LATVIA;57.0;25.0
LEBANON;33.8333;35.8333
LESOTHO;-29.5;28.5
LIBERIA;6.5;-9.5
LIECHTENSTEIN;47.1667;9.5333
LITHUANIA;56.0;24.0
LUXEMBOURG;49.75;6.1667
